Date,Open,High,Low,Close*,Adj Close**,Volume
12-Dec-17,"6,872.71","6,884.80","6,856.30","6,862.32","6,862.32","1,861,560,000"
11-Dec-17,"6,847.64","6,879.80","6,844.88","6,875.08","6,875.08","1,818,970,000"
8-Dec-17,"6,859.95","6,870.48","6,831.61","6,840.08","6,840.08","1,806,040,000"
7-Dec-17,"6,785.74","6,829.29","6,778.20","6,812.84","6,812.84","1,934,120,000"
6-Dec-17,"6,742.07","6,787.42","6,734.13","6,776.38","6,776.38","1,891,850,000"
5-Dec-17,"6,759.14","6,836.45","6,752.32","6,762.21","6,762.21","2,083,540,000"
4-Dec-17,"6,897.13","6,899.23","6,770.69","6,775.37","6,775.37","2,426,570,000"
1-Dec-17,"6,844.04","6,872.17","6,737.16","6,847.59","6,847.59","2,293,570,000"
30-Nov-17,"6,852.80","6,888.65","6,838.48","6,873.97","6,873.97","2,458,580,000"
29-Nov-17,"6,907.28","6,908.33","6,793.95","6,824.39","6,824.39","2,452,860,000"
28-Nov-17,"6,893.72","6,914.19","6,866.21","6,912.36","6,912.36","2,000,410,000"
27-Nov-17,"6,889.91","6,897.43","6,867.89","6,878.52","6,878.52","1,773,400,000"
24-Nov-17,"6,878.11","6,890.02","6,873.74","6,889.16","6,889.16","848,520,000"
22-Nov-17,"6,869.53","6,874.52","6,859.28","6,867.36","6,867.36","1,588,200,000"
21-Nov-17,"6,820.55","6,862.66","6,820.02","6,862.48","6,862.48","1,883,550,000"
20-Nov-17,"6,789.28","6,795.83","6,779.49","6,790.71","6,790.71","1,800,880,000"
17-Nov-17,"6,794.45","6,797.75","6,777.43","6,782.79","6,782.79","1,988,090,000"
16-Nov-17,"6,742.34","6,806.67","6,742.34","6,793.29","6,793.29","2,002,920,000"
15-Nov-17,"6,700.68","6,725.32","6,667.31","6,706.21","6,706.21","1,908,660,000"
14-Nov-17,"6,733.87","6,743.63","6,709.27","6,737.87","6,737.87","1,983,830,000"
13-Nov-17,"6,727.39","6,766.30","6,723.43","6,757.60","6,757.60","1,973,790,000"
10-Nov-17,"6,736.39","6,757.34","6,727.35","6,750.94","6,750.94","1,973,970,000"
9-Nov-17,"6,737.45","6,758.93","6,687.28","6,750.05","6,750.05","2,235,180,000"
8-Nov-17,"6,764.85","6,791.65","6,753.34","6,789.12","6,789.12","2,110,990,000"
